Timestamp	Open	High	Low	Close	Volume
2009-04-22 01:00:00	98.58	98.62	98255	98265	11453
2009-04-22 02:00:00	98255	98.38	98215	98.36	10538
2009-04-22 03:00:00	98365	98.38	98.07	98125	11922
2009-04-22 04:00:00	98125	98.29	98125	98.25	12158
2009-04-22 05:00:00	98245	98.38	98.2	98.29	16254
2009-04-22 06:00:00	98295	98.48	98.16	98215	35414
2009-04-22 07:00:00	98215	98245	98.04	98.15	36182
2009-04-22 08:00:00	98.16	98355	98.15	98.26	27995
2009-04-22 09:00:00	98265	98.28	97815	97865	28350
2009-04-22 10:00:00	97.87	97995	97745	97.89	24917
2009-04-22 11:00:00	97.88	98.03	97.8	97.97	19235
2009-04-22 12:00:00	97965	98025	97.57	97.7	24227
2009-04-22 13:00:00	97.7	98	97.63	97945	22620
2009-04-22 14:00:00	97945	98325	97945	98.07	23050
2009-04-22 15:00:00	98.07	98165	98.01	98135	17793
2009-04-22 16:00:00	98135	98.15	97745	97.9	16242
2009-04-22 17:00:00	97.9	98.04	97.81	97855	9244
2009-04-22 18:00:00	97.84	98.28	97835	98.14	13190
2009-04-22 19:00:00	98.14	98235	98	98015	12556
2009-04-22 20:00:00	98015	98015	97.82	97995	10794
2009-04-22 21:00:00	98	98.03	97.95	97975	3044
2009-04-22 22:00:00	97.97	98.16	97955	98.14	6580
2009-04-22 23:00:00	98.14	98.17	97935	98055	8060
2009-04-23 00:00:00	98.05	98.2	97.78	97.84	14252
2009-04-23 01:00:00	97845	97.88	97665	97765	14509
2009-04-23 02:00:00	97765	97.88	97725	97.77	9985
2009-04-23 03:00:00	97.77	97.8	97.63	97675	9601
2009-04-23 04:00:00	97675	97835	97675	97805	8471
2009-04-23 05:00:00	97.81	98125	97785	98.06	20566
2009-04-23 06:00:00	98.06	98105	97.93	97955	30186
2009-04-23 07:00:00	97955	98.2	97865	98.14	28788
2009-04-23 08:00:00	98.14	98435	98.1	98.28	26794
2009-04-23 09:00:00	98275	98.37	98.11	98305	22602
2009-04-23 10:00:00	98.31	98.42	98.17	98325	21394
2009-04-23 11:00:00	98325	98435	98225	98265	26118
2009-04-23 12:00:00	98265	98405	98.23	98.37	23810
2009-04-23 13:00:00	98365	98.43	98.21	98.28	30149
2009-04-23 14:00:00	98.27	98.27	97895	97.91	25491
2009-04-23 15:00:00	97.9	98	97795	97885	23431
