dataspan = 30.000 (!)

___   CCI-chwin: 2   ___

chval-th: 5
EURUSD  M1 | 30000  (-0) | normal | Trades: 28074
EURUSD  M1 | 30000  (-0) | normal | Trades: 27952
EURUSD  M1 | 30000  (-0) | normal | Trades: 27952
EURUSD  M1 | 30000  (-0) | normal | Trades: 27952
EURUSD  M1 | 30000  (-0) | normal | Trades: 27856
EURUSD  M1 | 30000  (-0) | normal | Trades: 27856
EURUSD  M1 | 30000  (-0) | normal | Trades: 27856
EURUSD  M1 | 30000  (-0) | normal | Trades: 27686
EURUSD  M1 | 30000  (-0) | normal | Trades: 27586
EURUSD  M1 | 30000  (-0) | normal | Trades: 27391
chval-th: 10
EURUSD  M1 | 30000  (-0) | normal | Trades: 26234
EURUSD  M1 | 30000  (-0) | normal | Trades: 25975
EURUSD  M1 | 30000  (-0) | normal | Trades: 25975
EURUSD  M1 | 30000  (-0) | normal | Trades: 25975
EURUSD  M1 | 30000  (-0) | normal | Trades: 25725
EURUSD  M1 | 30000  (-0) | normal | Trades: 25725
EURUSD  M1 | 30000  (-0) | normal | Trades: 25725
EURUSD  M1 | 30000  (-0) | normal | Trades: 25412
EURUSD  M1 | 30000  (-0) | normal | Trades: 25247
EURUSD  M1 | 30000  (-0) | normal | Trades: 24978
chval-th: 17
EURUSD  M1 | 30000  (-0) | normal | Trades: 23680
EURUSD  M1 | 30000  (-0) | normal | Trades: 23257
EURUSD  M1 | 30000  (-0) | normal | Trades: 23257
EURUSD  M1 | 30000  (-0) | normal | Trades: 23257
EURUSD  M1 | 30000  (-0) | normal | Trades: 22824
EURUSD  M1 | 30000  (-0) | normal | Trades: 22824
EURUSD  M1 | 30000  (-0) | normal | Trades: 22824
EURUSD  M1 | 30000  (-0) | normal | Trades: 22438
EURUSD  M1 | 30000  (-0) | normal | Trades: 22031
EURUSD  M1 | 30000  (-0) | normal | Trades: 21601
chval-th: 25
EURUSD  M1 | 30000  (-0) | normal | Trades: 20719
EURUSD  M1 | 30000  (-0) | normal | Trades: 20274
EURUSD  M1 | 30000  (-0) | normal | Trades: 20274
EURUSD  M1 | 30000  (-0) | normal | Trades: 20274
EURUSD  M1 | 30000  (-0) | normal | Trades: 19672
EURUSD  M1 | 30000  (-0) | normal | Trades: 19672
EURUSD  M1 | 30000  (-0) | normal | Trades: 19672
EURUSD  M1 | 30000  (-0) | normal | Trades: 19056
EURUSD  M1 | 30000  (-0) | normal | Trades: 18614
EURUSD  M1 | 30000  (-0) | normal | Trades: 18063
chval-th: 33
EURUSD  M1 | 30000  (-0) | normal | Trades: 18040
EURUSD  M1 | 30000  (-0) | normal | Trades: 17430
EURUSD  M1 | 30000  (-0) | normal | Trades: 17430
EURUSD  M1 | 30000  (-0) | normal | Trades: 17430
EURUSD  M1 | 30000  (-0) | normal | Trades: 16715
EURUSD  M1 | 30000  (-0) | normal | Trades: 16715
EURUSD  M1 | 30000  (-0) | normal | Trades: 16715
EURUSD  M1 | 30000  (-0) | normal | Trades: 16139
EURUSD  M1 | 30000  (-0) | normal | Trades: 15551
EURUSD  M1 | 30000  (-0) | normal | Trades: 15053
chval-th: 40
EURUSD  M1 | 30000  (-0) | normal | Trades: 15826
EURUSD  M1 | 30000  (-0) | normal | Trades: 15110
EURUSD  M1 | 30000  (-0) | normal | Trades: 15110
EURUSD  M1 | 30000  (-0) | normal | Trades: 15110
