CCI-treshold-distances per block:
40,50,59,67,74,80,85,90,94,97,100,103,106,110,115,120,126,133,141,150,160,175,190 

CCI-win: 4
EURUSD  M1 | 60000  (-0) | normal | Trades: 49866
EURUSD  M1 | 60000  (-0) | normal | Trades: 46410
EURUSD  M1 | 60000  (-0) | normal | Trades: 42893
EURUSD  M1 | 60000  (-0) | normal | Trades: 39061
EURUSD  M1 | 60000  (-0) | normal | Trades: 35791
EURUSD  M1 | 60000  (-0) | normal | Trades: 32538
EURUSD  M1 | 60000  (-0) | normal | Trades: 29713
EURUSD  M1 | 60000  (-0) | normal | Trades: 26786
EURUSD  M1 | 60000  (-0) | normal | Trades: 24416
EURUSD  M1 | 60000  (-0) | normal | Trades: 22683
EURUSD  M1 | 60000  (-0) | normal | Trades: 20968
EURUSD  M1 | 60000  (-0) | normal | Trades: 19408
EURUSD  M1 | 60000  (-0) | normal | Trades: 17875
EURUSD  M1 | 60000  (-0) | normal | Trades: 15987
EURUSD  M1 | 60000  (-0) | normal | Trades: 13816
EURUSD  M1 | 60000  (-0) | normal | Trades: 11812
EURUSD  M1 | 60000  (-0) | normal | Trades: 9719
EURUSD  M1 | 60000  (-0) | normal | Trades: 7657
EURUSD  M1 | 60000  (-0) | normal | Trades: 0
EURUSD  M1 | 60000  (-0) | normal | Trades: 0
EURUSD  M1 | 60000  (-0) | normal | Trades: 0
EURUSD  M1 | 60000  (-0) | normal | Trades: 0
EURUSD  M1 | 60000  (-0) | normal | Trades: 0

CCI-win: 5
EURUSD  M1 | 60000  (-0) | normal | Trades: 49157
EURUSD  M1 | 60000  (-0) | normal | Trades: 45774
EURUSD  M1 | 60000  (-0) | normal | Trades: 42311
EURUSD  M1 | 60000  (-0) | normal | Trades: 38905
EURUSD  M1 | 60000  (-0) | normal | Trades: 35814
EURUSD  M1 | 60000  (-0) | normal | Trades: 32962
EURUSD  M1 | 60000  (-0) | normal | Trades: 30506
EURUSD  M1 | 60000  (-0) | normal | Trades: 27928
EURUSD  M1 | 60000  (-0) | normal | Trades: 25858
EURUSD  M1 | 60000  (-0) | normal | Trades: 24318
EURUSD  M1 | 60000  (-0) | normal | Trades: 22755
EURUSD  M1 | 60000  (-0) | normal | Trades: 21177
EURUSD  M1 | 60000  (-0) | normal | Trades: 19620
EURUSD  M1 | 60000  (-0) | normal | Trades: 17577
EURUSD  M1 | 60000  (-0) | normal | Trades: 15245
EURUSD  M1 | 60000  (-0) | normal | Trades: 13168
EURUSD  M1 | 60000  (-0) | normal | Trades: 10856
EURUSD  M1 | 60000  (-0) | normal | Trades: 8548
EURUSD  M1 | 60000  (-0) | normal | Trades: 6421
EURUSD  M1 | 60000  (-0) | normal | Trades: 4521
EURUSD  M1 | 60000  (-0) | normal | Trades: 2932
EURUSD  M1 | 60000  (-0) | normal | Trades: 0
EURUSD  M1 | 60000  (-0) | normal | Trades: 0

CCI-win: 6
EURUSD  M1 | 60000  (-0) | normal | Trades: 48729
EURUSD  M1 | 60000  (-0) | normal | Trades: 45425
EURUSD  M1 | 60000  (-0) | normal | Trades: 42104
EURUSD  M1 | 60000  (-0) | normal | Trades: 38756
EURUSD  M1 | 60000  (-0) | normal | Trades: 35754
EURUSD  M1 | 60000  (-0) | normal | Trades: 33122
EURUSD  M1 | 60000  (-0) | normal | Trades: 30734
EURUSD  M1 | 60000  (-0) | normal | Trades: 28423
EURUSD  M1 | 60000  (-0) | normal | Trades: 26558
EURUSD  M1 | 60000  (-0) | normal | Trades: 25131
EURUSD  M1 | 60000  (-0) | normal | Trades: 23743
EURUSD  M1 | 60000  (-0) | normal | Trades: 22373
EURUSD  M1 | 60000  (-0) | normal | Trades: 20982
EURUSD  M1 | 60000  (-0) | normal | Trades: 19196
EURUSD  M1 | 60000  (-0) | normal | Trades: 17049
EURUSD  M1 | 60000  (-0) | normal | Trades: 14951
EURUSD  M1 | 60000  (-0) | normal | Trades: 12545
EURUSD  M1 | 60000  (-0) | normal | Trades: 10115
EURUSD  M1 | 60000  (-0) | normal | Trades: 7741
EURUSD  M1 | 60000  (-0) | normal | Trades: 5641
EURUSD  M1 | 60000  (-0) | normal | Trades: 3886
EURUSD  M1 | 60000  (-0) | normal | Trades: 2143
EURUSD  M1 | 60000  (-0) | normal | Trades: 1094

CCI-win: 7
EURUSD  M1 | 60000  (-0) | normal | Trades: 48626
EURUSD  M1 | 60000  (-0) | normal | Trades: 45210
EURUSD  M1 | 60000  (-0) | normal | Trades: 41863
EURUSD  M1 | 60000  (-0) | normal | Trades: 38735
EURUSD  M1 | 60000  (-0) | normal | Trades: 35795
EURUSD  M1 | 60000  (-0) | normal | Trades: 33187
EURUSD  M1 | 60000  (-0) | normal | Trades: 30963
EURUSD  M1 | 60000  (-0) | normal | Trades: 28671
EURUSD  M1 | 60000  (-0) | normal | Trades: 26804
EURUSD  M1 | 60000  (-0) | normal | Trades: 25469
EURUSD  M1 | 60000  (-0) | normal | Trades: 24065
EURUSD  M1 | 60000  (-0) | normal | Trades: 22736
EURUSD  M1 | 60000  (-0) | normal | Trades: 21461
EURUSD  M1 | 60000  (-0) | normal | Trades: 19819
EURUSD  M1 | 60000  (-0) | normal | Trades: 17779
EURUSD  M1 | 60000  (-0) | normal | Trades: 15827
EURUSD  M1 | 60000  (-0) | normal | Trades: 13647
