CCI-win: 7    ( CCI_th_dists 142-159 )
EURUSD  M1 | 60000  (-0) | normal | Trades: 8756
EURUSD  M1 | 60000  (-0) | normal | Trades: 8489
EURUSD  M1 | 60000  (-0) | normal | Trades: 8202
EURUSD  M1 | 60000  (-0) | normal | Trades: 7950
EURUSD  M1 | 60000  (-0) | normal | Trades: 7696
EURUSD  M1 | 60000  (-0) | normal | Trades: 7473
EURUSD  M1 | 60000  (-0) | normal | Trades: 7237
EURUSD  M1 | 60000  (-0) | normal | Trades: 7015
EURUSD  M1 | 60000  (-0) | normal | Trades: 6805
EURUSD  M1 | 60000  (-0) | normal | Trades: 6565
EURUSD  M1 | 60000  (-0) | normal | Trades: 6342
EURUSD  M1 | 60000  (-0) | normal | Trades: 6138
EURUSD  M1 | 60000  (-0) | normal | Trades: 5942
EURUSD  M1 | 60000  (-0) | normal | Trades: 5743
EURUSD  M1 | 60000  (-0) | normal | Trades: 5543
EURUSD  M1 | 60000  (-0) | normal | Trades: 5335
EURUSD  M1 | 60000  (-0) | normal | Trades: 5154
EURUSD  M1 | 60000  (-0) | normal | Trades: 4954

CCI-win: 8    ( CCI_th_dists 142-159 )
EURUSD  M1 | 60000  (-0) | normal | Trades: 9511
EURUSD  M1 | 60000  (-0) | normal | Trades: 9250
EURUSD  M1 | 60000  (-0) | normal | Trades: 9021
EURUSD  M1 | 60000  (-0) | normal | Trades: 8770
EURUSD  M1 | 60000  (-0) | normal | Trades: 8520
EURUSD  M1 | 60000  (-0) | normal | Trades: 8294
EURUSD  M1 | 60000  (-0) | normal | Trades: 8081
EURUSD  M1 | 60000  (-0) | normal | Trades: 7870
EURUSD  M1 | 60000  (-0) | normal | Trades: 7658
EURUSD  M1 | 60000  (-0) | normal | Trades: 7442
EURUSD  M1 | 60000  (-0) | normal | Trades: 7219
EURUSD  M1 | 60000  (-0) | normal | Trades: 7023
EURUSD  M1 | 60000  (-0) | normal | Trades: 6798
EURUSD  M1 | 60000  (-0) | normal | Trades: 6594
EURUSD  M1 | 60000  (-0) | normal | Trades: 6362
EURUSD  M1 | 60000  (-0) | normal | Trades: 6177
EURUSD  M1 | 60000  (-0) | normal | Trades: 6003
EURUSD  M1 | 60000  (-0) | normal | Trades: 5823

CCI-win: 10    ( CCI_th_dists 142-159 )
EURUSD  M1 | 60000  (-0) | normal | Trades: 10395
EURUSD  M1 | 60000  (-0) | normal | Trades: 10144
EURUSD  M1 | 60000  (-0) | normal | Trades: 9900
EURUSD  M1 | 60000  (-0) | normal | Trades: 9664
EURUSD  M1 | 60000  (-0) | normal | Trades: 9417
EURUSD  M1 | 60000  (-0) | normal | Trades: 9187
EURUSD  M1 | 60000  (-0) | normal | Trades: 8938
EURUSD  M1 | 60000  (-0) | normal | Trades: 8727
EURUSD  M1 | 60000  (-0) | normal | Trades: 8502
EURUSD  M1 | 60000  (-0) | normal | Trades: 8280
EURUSD  M1 | 60000  (-0) | normal | Trades: 8060
