dataspan: 30.000,   combo_chwin: 2,   minTSLdist: 12


chval_th: 2
EURUSD  M1 | 30000  (-0) | normal | Trades: 3419
EURUSD  M1 | 30000  (-0) | normal | Trades: 7188
EURUSD  M1 | 30000  (-0) | normal | Trades: 9195
EURUSD  M1 | 30000  (-0) | normal | Trades: 10351
EURUSD  M1 | 30000  (-0) | normal | Trades: 11125
EURUSD  M1 | 30000  (-0) | normal | Trades: 11649
EURUSD  M1 | 30000  (-0) | normal | Trades: 12041
EURUSD  M1 | 30000  (-0) | normal | Trades: 660
EURUSD  M1 | 30000  (-0) | normal | Trades: 2598
EURUSD  M1 | 30000  (-0) | normal | Trades: 4296

EURUSD  M1 | 30000  (-0) | normal | Trades: 5537
EURUSD  M1 | 30000  (-0) | normal | Trades: 6378
EURUSD  M1 | 30000  (-0) | normal | Trades: 7055
EURUSD  M1 | 30000  (-0) | normal | Trades: 139
EURUSD  M1 | 30000  (-0) | normal | Trades: 824
EURUSD  M1 | 30000  (-0) | normal | Trades: 1763
EURUSD  M1 | 30000  (-0) | normal | Trades: 2624
EURUSD  M1 | 30000  (-0) | normal | Trades: 3359
EURUSD  M1 | 30000  (-0) | normal | Trades: 53
EURUSD  M1 | 30000  (-0) | normal | Trades: 275

EURUSD  M1 | 30000  (-0) | normal | Trades: 685
EURUSD  M1 | 30000  (-0) | normal | Trades: 1172
EURUSD  M1 | 30000  (-0) | normal | Trades: 15
EURUSD  M1 | 30000  (-0) | normal | Trades: 95
EURUSD  M1 | 30000  (-0) | normal | Trades: 276
EURUSD  M1 | 30000  (-0) | normal | Trades: 4
EURUSD  M1 | 30000  (-0) | normal | Trades: 44
EURUSD  M1 | 30000  (-0) | normal | Trades: 2
EURUSD  M1 | 30000  (-0) | normal | Trades: 1977
EURUSD  M1 | 30000  (-0) | normal | Trades: 5483

EURUSD  M1 | 30000  (-0) | normal | Trades: 7687
EURUSD  M1 | 30000  (-0) | normal | Trades: 9104
EURUSD  M1 | 30000  (-0) | normal | Trades: 10082
EURUSD  M1 | 30000  (-0) | normal | Trades: 10810
EURUSD  M1 | 30000  (-0) | normal | Trades: 547
EURUSD  M1 | 30000  (-0) | normal | Trades: 2440
EURUSD  M1 | 30000  (-0) | normal | Trades: 4212
EURUSD  M1 | 30000  (-0) | normal | Trades: 5558
EURUSD  M1 | 30000  (-0) | normal | Trades: 6546
EURUSD  M1 | 30000  (-0) | normal | Trades: 161

EURUSD  M1 | 30000  (-0) | normal | Trades: 998
EURUSD  M1 | 30000  (-0) | normal | Trades: 2142
EURUSD  M1 | 30000  (-0) | normal | Trades: 3232
EURUSD  M1 | 30000  (-0) | normal | Trades: 56
EURUSD  M1 | 30000  (-0) | normal | Trades: 427
EURUSD  M1 | 30000  (-0) | normal | Trades: 1016
