dataspan: 70.000,  histo_chwin: 2
EURUSD  M1 | 70000  (-0) | normal | Trades: 28529
EURUSD  M1 | 70000  (-0) | normal | Trades: 26887
EURUSD  M1 | 70000  (-0) | normal | Trades: 25643
EURUSD  M1 | 70000  (-0) | normal | Trades: 24861
EURUSD  M1 | 70000  (-0) | normal | Trades: 24307
EURUSD  M1 | 70000  (-0) | normal | Trades: 23779
EURUSD  M1 | 70000  (-0) | normal | Trades: 23403
EURUSD  M1 | 70000  (-0) | normal | Trades: 23751
EURUSD  M1 | 70000  (-0) | normal | Trades: 22603
EURUSD  M1 | 70000  (-0) | normal | Trades: 21775
EURUSD  M1 | 70000  (-0) | normal | Trades: 21083
EURUSD  M1 | 70000  (-0) | normal | Trades: 20593
EURUSD  M1 | 70000  (-0) | normal | Trades: 20193
EURUSD  M1 | 70000  (-0) | normal | Trades: 20759
EURUSD  M1 | 70000  (-0) | normal | Trades: 19923
EURUSD  M1 | 70000  (-0) | normal | Trades: 19257
EURUSD  M1 | 70000  (-0) | normal | Trades: 18761
EURUSD  M1 | 70000  (-0) | normal | Trades: 18393
EURUSD  M1 | 70000  (-0) | normal | Trades: 18663
EURUSD  M1 | 70000  (-0) | normal | Trades: 18045
EURUSD  M1 | 70000  (-0) | normal | Trades: 17581
EURUSD  M1 | 70000  (-0) | normal | Trades: 17165
EURUSD  M1 | 70000  (-0) | normal | Trades: 17193
EURUSD  M1 | 70000  (-0) | normal | Trades: 16687
EURUSD  M1 | 70000  (-0) | normal | Trades: 16225
EURUSD  M1 | 70000  (-0) | normal | Trades: 16007
EURUSD  M1 | 70000  (-0) | normal | Trades: 15541
EURUSD  M1 | 70000  (-0) | normal | Trades: 14999
EURUSD  M1 | 70000  (-0) | normal | Trades: 20955
EURUSD  M1 | 70000  (-0) | normal | Trades: 19789
EURUSD  M1 | 70000  (-0) | normal | Trades: 18951
EURUSD  M1 | 70000  (-0) | normal | Trades: 18331
EURUSD  M1 | 70000  (-0) | normal | Trades: 17855
EURUSD  M1 | 70000  (-0) | normal | Trades: 17503
EURUSD  M1 | 70000  (-0) | normal | Trades: 18093
EURUSD  M1 | 70000  (-0) | normal | Trades: 17299
EURUSD  M1 | 70000  (-0) | normal | Trades: 16665
EURUSD  M1 | 70000  (-0) | normal | Trades: 16233
EURUSD  M1 | 70000  (-0) | normal | Trades: 15837
EURUSD  M1 | 70000  (-0) | normal | Trades: 16195
EURUSD  M1 | 70000  (-0) | normal | Trades: 15617
EURUSD  M1 | 70000  (-0) | normal | Trades: 15059
EURUSD  M1 | 70000  (-0) | normal | Trades: 14725
EURUSD  M1 | 70000  (-0) | normal | Trades: 14767
EURUSD  M1 | 70000  (-0) | normal | Trades: 14243
EURUSD  M1 | 70000  (-0) | normal | Trades: 13811
EURUSD  M1 | 70000  (-0) | normal | Trades: 13559
EURUSD  M1 | 70000  (-0) | normal | Trades: 13175
EURUSD  M1 | 70000  (-0) | normal | Trades: 12777
EURUSD  M1 | 70000  (-0) | normal | Trades: 16499
EURUSD  M1 | 70000  (-0) | normal | Trades: 15739
EURUSD  M1 | 70000  (-0) | normal | Trades: 15171
EURUSD  M1 | 70000  (-0) | normal | Trades: 14633
EURUSD  M1 | 70000  (-0) | normal | Trades: 14287
EURUSD  M1 | 70000  (-0) | normal | Trades: 14687
EURUSD  M1 | 70000  (-0) | normal | Trades: 14037
EURUSD  M1 | 70000  (-0) | normal | Trades: 13541
EURUSD  M1 | 70000  (-0) | normal | Trades: 13179
EURUSD  M1 | 70000  (-0) | normal | Trades: 13247
EURUSD  M1 | 70000  (-0) | normal | Trades: 12769
EURUSD  M1 | 70000  (-0) | normal | Trades: 12399
EURUSD  M1 | 70000  (-0) | normal | Trades: 12197
EURUSD  M1 | 70000  (-0) | normal | Trades: 11839
EURUSD  M1 | 70000  (-0) | normal | Trades: 11311
EURUSD  M1 | 70000  (-0) | normal | Trades: 13589
EURUSD  M1 | 70000  (-0) | normal | Trades: 12975
EURUSD  M1 | 70000  (-0) | normal | Trades: 12517
EURUSD  M1 | 70000  (-0) | normal | Trades: 12157
EURUSD  M1 | 70000  (-0) | normal | Trades: 12249
EURUSD  M1 | 70000  (-0) | normal | Trades: 11789
EURUSD  M1 | 70000  (-0) | normal | Trades: 11527
EURUSD  M1 | 70000  (-0) | normal | Trades: 11319
EURUSD  M1 | 70000  (-0) | normal | Trades: 10903
EURUSD  M1 | 70000  (-0) | normal | Trades: 10475
EURUSD  M1 | 70000  (-0) | normal | Trades: 11559
EURUSD  M1 | 70000  (-0) | normal | Trades: 11177
EURUSD  M1 | 70000  (-0) | normal | Trades: 10777
EURUSD  M1 | 70000  (-0) | normal | Trades: 10595
EURUSD  M1 | 70000  (-0) | normal | Trades: 10249
EURUSD  M1 | 70000  (-0) | normal | Trades: 9839
EURUSD  M1 | 70000  (-0) | normal | Trades: 10065
EURUSD  M1 | 70000  (-0) | normal | Trades: 9735
EURUSD  M1 | 70000  (-0) | normal | Trades: 9325
EURUSD  M1 | 70000  (-0) | normal | Trades: 8919
-----------------------------------
