Optimization Loop ID:  "A"
macd_chwin: 4        (dataspan: 40000)
EURUSD  M1 | 40000  (-0) | normal | Trades: 5766
EURUSD  M1 | 40000  (-0) | normal | Trades: 8428
EURUSD  M1 | 40000  (-0) | normal | Trades: 8172
EURUSD  M1 | 40000  (-0) | normal | Trades: 7941
EURUSD  M1 | 40000  (-0) | normal | Trades: 7688
EURUSD  M1 | 40000  (-0) | normal | Trades: 7423
EURUSD  M1 | 40000  (-0) | normal | Trades: 8172
EURUSD  M1 | 40000  (-0) | normal | Trades: 7833
EURUSD  M1 | 40000  (-0) | normal | Trades: 7562
EURUSD  M1 | 40000  (-0) | normal | Trades: 7324
EURUSD  M1 | 40000  (-0) | normal | Trades: 7067
EURUSD  M1 | 40000  (-0) | normal | Trades: 7740
EURUSD  M1 | 40000  (-0) | normal | Trades: 7469
EURUSD  M1 | 40000  (-0) | normal | Trades: 7182
EURUSD  M1 | 40000  (-0) | normal | Trades: 6967
EURUSD  M1 | 40000  (-0) | normal | Trades: 6791
EURUSD  M1 | 40000  (-0) | normal | Trades: 7388
EURUSD  M1 | 40000  (-0) | normal | Trades: 7145
EURUSD  M1 | 40000  (-0) | normal | Trades: 6898
EURUSD  M1 | 40000  (-0) | normal | Trades: 6681
EURUSD  M1 | 40000  (-0) | normal | Trades: 6505
EURUSD  M1 | 40000  (-0) | normal | Trades: 8172
EURUSD  M1 | 40000  (-0) | normal | Trades: 7833
EURUSD  M1 | 40000  (-0) | normal | Trades: 7562
EURUSD  M1 | 40000  (-0) | normal | Trades: 7324
EURUSD  M1 | 40000  (-0) | normal | Trades: 7067
EURUSD  M1 | 40000  (-0) | normal | Trades: 7740
EURUSD  M1 | 40000  (-0) | normal | Trades: 7469
EURUSD  M1 | 40000  (-0) | normal | Trades: 7182
EURUSD  M1 | 40000  (-0) | normal | Trades: 6967
EURUSD  M1 | 40000  (-0) | normal | Trades: 6791
EURUSD  M1 | 40000  (-0) | normal | Trades: 7388
EURUSD  M1 | 40000  (-0) | normal | Trades: 7145
EURUSD  M1 | 40000  (-0) | normal | Trades: 6898
EURUSD  M1 | 40000  (-0) | normal | Trades: 6681
EURUSD  M1 | 40000  (-0) | normal | Trades: 6505
EURUSD  M1 | 40000  (-0) | normal | Trades: 7123
EURUSD  M1 | 40000  (-0) | normal | Trades: 6856
EURUSD  M1 | 40000  (-0) | normal | Trades: 6631
EURUSD  M1 | 40000  (-0) | normal | Trades: 6410
EURUSD  M1 | 40000  (-0) | normal | Trades: 6208
EURUSD  M1 | 40000  (-0) | normal | Trades: 7740
EURUSD  M1 | 40000  (-0) | normal | Trades: 7469
EURUSD  M1 | 40000  (-0) | normal | Trades: 7182
EURUSD  M1 | 40000  (-0) | normal | Trades: 6967
EURUSD  M1 | 40000  (-0) | normal | Trades: 6791
EURUSD  M1 | 40000  (-0) | normal | Trades: 7388
EURUSD  M1 | 40000  (-0) | normal | Trades: 7145
EURUSD  M1 | 40000  (-0) | normal | Trades: 6898
EURUSD  M1 | 40000  (-0) | normal | Trades: 6681
EURUSD  M1 | 40000  (-0) | normal | Trades: 6505
EURUSD  M1 | 40000  (-0) | normal | Trades: 7123
EURUSD  M1 | 40000  (-0) | normal | Trades: 6856
EURUSD  M1 | 40000  (-0) | normal | Trades: 6631
EURUSD  M1 | 40000  (-0) | normal | Trades: 6410
EURUSD  M1 | 40000  (-0) | normal | Trades: 6208
EURUSD  M1 | 40000  (-0) | normal | Trades: 6567
EURUSD  M1 | 40000  (-0) | normal | Trades: 6343
EURUSD  M1 | 40000  (-0) | normal | Trades: 6140
EURUSD  M1 | 40000  (-0) | normal | Trades: 5961
EURUSD  M1 | 40000  (-0) | normal | Trades: 5929
EURUSD  M1 | 40000  (-0) | normal | Trades: 5766
EURUSD  M1 | 40000  (-0) | normal | Trades: 7388
EURUSD  M1 | 40000  (-0) | normal | Trades: 7145
EURUSD  M1 | 40000  (-0) | normal | Trades: 6898
EURUSD  M1 | 40000  (-0) | normal | Trades: 6681
EURUSD  M1 | 40000  (-0) | normal | Trades: 6505
EURUSD  M1 | 40000  (-0) | normal | Trades: 7123
EURUSD  M1 | 40000  (-0) | normal | Trades: 6856
EURUSD  M1 | 40000  (-0) | normal | Trades: 6631
EURUSD  M1 | 40000  (-0) | normal | Trades: 6410
EURUSD  M1 | 40000  (-0) | normal | Trades: 6208
