(each block: RSI-wins 4-14)

RSI-CHWIN=2

RSI-bounddist: 5
EURUSD  M1 | 66000  (-0) | normal | Trades: 56146
EURUSD  M1 | 66000  (-0) | normal | Trades: 54620
EURUSD  M1 | 66000  (-0) | normal | Trades: 53187
EURUSD  M1 | 66000  (-0) | normal | Trades: 51926
EURUSD  M1 | 66000  (-0) | normal | Trades: 50772
EURUSD  M1 | 66000  (-0) | normal | Trades: 49685
EURUSD  M1 | 66000  (-0) | normal | Trades: 48696
EURUSD  M1 | 66000  (-0) | normal | Trades: 47579
EURUSD  M1 | 66000  (-0) | normal | Trades: 46656
EURUSD  M1 | 66000  (-0) | normal | Trades: 45798
EURUSD  M1 | 66000  (-0) | normal | Trades: 45001
RSI-bounddist: 8
EURUSD  M1 | 66000  (-0) | normal | Trades: 50247
EURUSD  M1 | 66000  (-0) | normal | Trades: 47891
EURUSD  M1 | 66000  (-0) | normal | Trades: 45756
EURUSD  M1 | 66000  (-0) | normal | Trades: 43776
EURUSD  M1 | 66000  (-0) | normal | Trades: 42054
EURUSD  M1 | 66000  (-0) | normal | Trades: 40301
EURUSD  M1 | 66000  (-0) | normal | Trades: 38751
EURUSD  M1 | 66000  (-0) | normal | Trades: 37321
EURUSD  M1 | 66000  (-0) | normal | Trades: 35985
EURUSD  M1 | 66000  (-0) | normal | Trades: 34709
EURUSD  M1 | 66000  (-0) | normal | Trades: 33481
RSI-bounddist: 12
EURUSD  M1 | 66000  (-0) | normal | Trades: 42820
EURUSD  M1 | 66000  (-0) | normal | Trades: 39320
EURUSD  M1 | 66000  (-0) | normal | Trades: 36284
EURUSD  M1 | 66000  (-0) | normal | Trades: 33542
EURUSD  M1 | 66000  (-0) | normal | Trades: 31233
EURUSD  M1 | 66000  (-0) | normal | Trades: 29126
EURUSD  M1 | 66000  (-0) | normal | Trades: 27150
EURUSD  M1 | 66000  (-0) | normal | Trades: 25360
EURUSD  M1 | 66000  (-0) | normal | Trades: 23747
EURUSD  M1 | 66000  (-0) | normal | Trades: 22213
EURUSD  M1 | 66000  (-0) | normal | Trades: 20872
RSI-bounddist: 17
EURUSD  M1 | 66000  (-0) | normal | Trades: 33770
EURUSD  M1 | 66000  (-0) | normal | Trades: 29265
EURUSD  M1 | 66000  (-0) | normal | Trades: 25513
EURUSD  M1 | 66000  (-0) | normal | Trades: 22565
EURUSD  M1 | 66000  (-0) | normal | Trades: 19863
EURUSD  M1 | 66000  (-0) | normal | Trades: 17590
EURUSD  M1 | 66000  (-0) | normal | Trades: 15643
EURUSD  M1 | 66000  (-0) | normal | Trades: 13840
EURUSD  M1 | 66000  (-0) | normal | Trades: 12395
EURUSD  M1 | 66000  (-0) | normal | Trades: 11078
EURUSD  M1 | 66000  (-0) | normal | Trades: 9962
RSI-bounddist: 21
EURUSD  M1 | 66000  (-0) | normal | Trades: 26972
EURUSD  M1 | 66000  (-0) | normal | Trades: 21944
EURUSD  M1 | 66000  (-0) | normal | Trades: 18220
EURUSD  M1 | 66000  (-0) | normal | Trades: 15174
EURUSD  M1 | 66000  (-0) | normal | Trades: 12725
EURUSD  M1 | 66000  (-0) | normal | Trades: 10722
EURUSD  M1 | 66000  (-0) | normal | Trades: 9107
EURUSD  M1 | 66000  (-0) | normal | Trades: 7756
EURUSD  M1 | 66000  (-0) | normal | Trades: 6631
EURUSD  M1 | 66000  (-0) | normal | Trades: 5634
EURUSD  M1 | 66000  (-0) | normal | Trades: 4840
RSI-bounddist: 25
EURUSD  M1 | 66000  (-0) | normal | Trades: 20618
EURUSD  M1 | 66000  (-0) | normal | Trades: 15841
EURUSD  M1 | 66000  (-0) | normal | Trades: 12276
EURUSD  M1 | 66000  (-0) | normal | Trades: 9639
EURUSD  M1 | 66000  (-0) | normal | Trades: 7629
EURUSD  M1 | 66000  (-0) | normal | Trades: 6060
EURUSD  M1 | 66000  (-0) | normal | Trades: 4840
EURUSD  M1 | 66000  (-0) | normal | Trades: 3866
EURUSD  M1 | 66000  (-0) | normal | Trades: 3174
EURUSD  M1 | 66000  (-0) | normal | Trades: 2623
EURUSD  M1 | 66000  (-0) | normal | Trades: 2192
RSI-bounddist: 28
EURUSD  M1 | 66000  (-0) | normal | Trades: 16341
EURUSD  M1 | 66000  (-0) | normal | Trades: 11855
EURUSD  M1 | 66000  (-0) | normal | Trades: 8722
EURUSD  M1 | 66000  (-0) | normal | Trades: 6459
EURUSD  M1 | 66000  (-0) | normal | Trades: 4847
EURUSD  M1 | 66000  (-0) | normal | Trades: 3678
