Optimization Loop ID:  "A"
vwap_chwin=2
EURUSD  M1 | 30000  (-0) | normal | Trades: 7184
EURUSD  M1 | 30000  (-0) | normal | Trades: 7184
EURUSD  M1 | 30000  (-0) | normal | Trades: 7184
EURUSD  M1 | 30000  (-0) | normal | Trades: 7184
EURUSD  M1 | 30000  (-0) | normal | Trades: 7184
EURUSD  M1 | 30000  (-0) | normal | Trades: 7184
EURUSD  M1 | 30000  (-0) | normal | Trades: 7184
EURUSD  M1 | 30000  (-0) | normal | Trades: 7184
EURUSD  M1 | 30000  (-0) | normal | Trades: 7184
EURUSD  M1 | 30000  (-0) | normal | Trades: 7184
EURUSD  M1 | 30000  (-0) | normal | Trades: 7184
EURUSD  M1 | 30000  (-0) | normal | Trades: 2024
EURUSD  M1 | 30000  (-0) | normal | Trades: 7184
EURUSD  M1 | 30000  (-0) | normal | Trades: 7184

vwap_chwin=3
EURUSD  M1 | 30000  (-0) | normal | Trades: 5535
EURUSD  M1 | 30000  (-0) | normal | Trades: 5535
EURUSD  M1 | 30000  (-0) | normal | Trades: 5535
EURUSD  M1 | 30000  (-0) | normal | Trades: 5535
EURUSD  M1 | 30000  (-0) | normal | Trades: 5535
EURUSD  M1 | 30000  (-0) | normal | Trades: 5535
EURUSD  M1 | 30000  (-0) | normal | Trades: 5535
EURUSD  M1 | 30000  (-0) | normal | Trades: 5535
EURUSD  M1 | 30000  (-0) | normal | Trades: 5535
EURUSD  M1 | 30000  (-0) | normal | Trades: 5535
EURUSD  M1 | 30000  (-0) | normal | Trades: 5535
EURUSD  M1 | 30000  (-0) | normal | Trades: 5535
EURUSD  M1 | 30000  (-0) | normal | Trades: 5535
EURUSD  M1 | 30000  (-0) | normal | Trades: 5535

vwap_chwin=4
EURUSD  M1 | 30000  (-0) | normal | Trades: 5740
EURUSD  M1 | 30000  (-0) | normal | Trades: 2258
EURUSD  M1 | 30000  (-0) | normal | Trades: 2258
EURUSD  M1 | 30000  (-0) | normal | Trades: 2258
EURUSD  M1 | 30000  (-0) | normal | Trades: 2258
EURUSD  M1 | 30000  (-0) | normal | Trades: 5740
EURUSD  M1 | 30000  (-0) | normal | Trades: 5740
EURUSD  M1 | 30000  (-0) | normal | Trades: 5740
EURUSD  M1 | 30000  (-0) | normal | Trades: 5740
EURUSD  M1 | 30000  (-0) | normal | Trades: 5740
EURUSD  M1 | 30000  (-0) | normal | Trades: 5740
EURUSD  M1 | 30000  (-0) | normal | Trades: 5740
EURUSD  M1 | 30000  (-0) | normal | Trades: 5740
EURUSD  M1 | 30000  (-0) | normal | Trades: 5740
-----------------------------------
