MACD_shortwin: 25 | MACD_longwin: 38 | MACD_signalwin: 20 | MACD_chwin: 3 | 
MACD_shortwin: 3 | MACD_longwin: 12 | MACD_signalwin: 2 | MACD_chwin: 3 | 
MACD_shortwin: 17 | MACD_longwin: 23 | MACD_signalwin: 15 | MACD_chwin: 4 | 
MACD_shortwin: 17 | MACD_longwin: 18 | MACD_signalwin: 2 | MACD_chwin: 3 | 
MACD_shortwin: 18 | MACD_longwin: 36 | MACD_signalwin: 16 | MACD_chwin: 7 | 
MACD_shortwin: 4 | MACD_longwin: 6 | MACD_signalwin: 3 | MACD_chwin: 7 | 
MACD_shortwin: 5 | MACD_longwin: 46 | MACD_signalwin: 4 | MACD_chwin: 7 | 
MACD_shortwin: 19 | MACD_longwin: 20 | MACD_signalwin: 18 | MACD_chwin: 4 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 8 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 12 | MACD_longwin: 16 | MACD_signalwin: 11 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 8 | MACD_chwin: 3 | 
MACD_shortwin: 11 | MACD_longwin: 21 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 12 | MACD_longwin: 18 | MACD_signalwin: 11 | MACD_chwin: 6 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 8 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 13 | MACD_longwin: 15 | MACD_signalwin: 12 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 8 | MACD_chwin: 3 | 
MACD_shortwin: 11 | MACD_longwin: 21 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 8 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 8 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 12 | MACD_longwin: 16 | MACD_signalwin: 11 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 11 | MACD_longwin: 21 | MACD_signalwin: 8 | MACD_chwin: 3 | 
MACD_shortwin: 12 | MACD_longwin: 16 | MACD_signalwin: 11 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 8 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 8 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 8 | MACD_chwin: 3 | 
MACD_shortwin: 11 | MACD_longwin: 18 | MACD_signalwin: 10 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 22 | MACD_signalwin: 8 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 8 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 11 | MACD_longwin: 21 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 8 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 22 | MACD_signalwin: 8 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 9 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 8 | MACD_chwin: 3 | 
MACD_shortwin: 10 | MACD_longwin: 14 | MACD_signalwin: 8 | MACD_chwin: 3 | 
